file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,115,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,21
style.css,116,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,117,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,118,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,13
style.css,119,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,10
style.css,120,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,11
style.css,121,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
style.css,122,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,123,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,124,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,11
style.css,125,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,8
style.css,126,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,11
style.css,127,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,128,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,129,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,15
style.css,130,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,60
style.css,131,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,16
style.css,132,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,15
style.css,133,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
style.css,134,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,40
style.css,135,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,136,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,137,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,24
style.css,138,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,2
style.css,139,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,25
style.css,140,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,19
style.css,141,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,142,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,143,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,27
style.css,144,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,4
style.css,145,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,12
style.css,146,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,30
style.css,147,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,13
style.css,148,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,18
style.css,149,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,150,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,151,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,10
style.css,152,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,17
style.css,153,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,154,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,155,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,9
style.css,156,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,12
style.css,157,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,11
style.css,158,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,12
style.css,159,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,10
style.css,160,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,21
style.css,161,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,32
style.css,162,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,23
style.css,163,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,36
style.css,164,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,13
style.css,165,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
style.css,166,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,167,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,168,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,11
style.css,169,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,18
style.css,170,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
style.css,171,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,14
style.css,172,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,36
style.css,173,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,11
style.css,174,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,11
style.css,175,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,14
style.css,176,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,177,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,178,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,17
style.css,179,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,36
style.css,180,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,181,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,0,0
style.css,182,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,35
style.css,183,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,13
style.css,184,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
style.css,185,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,8
style.css,186,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,10
style.css,187,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,15
style.css,188,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,189,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,190,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,38
style.css,191,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,10
style.css,192,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,12
style.css,193,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,18
style.css,194,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,7
style.css,195,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,15
style.css,196,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,14
style.css,197,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,198,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,199,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,18
style.css,200,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,14
style.css,201,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,16
style.css,202,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,16
style.css,203,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,204,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,0
style.css,205,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,10
style.css,206,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,0,7
style.css,207,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,12
style.css,208,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,57
style.css,209,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,15
style.css,210,css,100a2c23,lilliantran22,2025-10-10,20:54:53,-07:00,2025-10-10T20:54:53-07:00,1,11
style.css,211,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,8
style.css,212,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,36
style.css,213,css,1387641c,lilliantran22,2025-10-31,21:35:07,-07:00,2025-10-31T21:35:07-07:00,1,17
